date,weight_kg,calories_consumed,protein_g,carbs_g,fat_total_g,fat_saturated_g,fat_unsaturated_g,fat_trans_g,magnesium_mg,iron_mg,zinc_mg,water_litres,day_type,notes
2025-01-06,84.2,2180,165,220,72,24,44,0.5,320,14.2,9.8,2.4,normal,Back to routine after holidays
2025-01-07,84.0,2050,170,195,68,22,42,0.3,340,15.1,10.2,2.6,normal,Good session today
2025-01-08,83.8,2320,155,240,78,26,48,0.6,290,13.8,9.1,2.1,restaurant,Dinner out with friends
2025-01-09,83.9,2100,168,210,70,23,43,0.4,310,14.5,9.6,2.5,normal,
2025-01-10,83.7,1980,172,190,65,21,40,0.3,350,15.8,10.5,2.8,normal,Felt great
2025-01-11,83.5,2250,160,230,75,25,46,0.5,300,14.0,9.3,2.3,normal,
2025-01-12,83.6,2420,150,260,82,28,50,0.7,280,13.2,8.8,2.0,restaurant,Long brunch
2025-01-13,83.4,2080,169,205,69,22,43,0.4,330,15.0,10.0,2.5,normal,
2025-01-14,83.2,1960,174,188,63,20,39,0.3,355,16.0,10.8,2.9,normal,Light day
2025-01-15,83.0,2140,166,215,71,23,44,0.4,320,14.6,9.7,2.4,normal,
2025-01-16,82.9,2060,170,200,67,22,41,0.4,340,15.2,10.1,2.6,normal,
2025-01-17,82.8,2290,158,238,76,25,47,0.6,295,13.9,9.2,2.2,restaurant,Pizza night
2025-01-18,82.7,2030,171,198,66,21,41,0.4,335,15.1,10.0,2.5,normal,
2025-01-19,82.5,1940,175,185,62,20,38,0.2,360,16.2,11.0,3.0,normal,Best weight so far
2025-01-20,82.4,2110,167,212,70,23,43,0.4,322,14.7,9.8,2.4,normal,
2025-01-21,82.3,2070,169,204,68,22,42,0.4,338,15.0,10.0,2.5,normal,
2025-01-22,82.2,2190,163,220,73,24,45,0.5,308,14.3,9.5,2.3,normal,
2025-01-23,82.4,2380,152,255,80,27,49,0.7,285,13.4,8.9,2.0,restaurant,Birthday dinner
2025-01-24,82.3,2020,172,196,65,21,40,0.3,342,15.3,10.2,2.6,normal,Back on track
2025-01-25,82.1,1980,174,190,63,20,39,0.3,352,15.7,10.5,2.7,normal,
2025-01-26,82.0,2090,168,208,69,22,43,0.4,326,14.8,9.9,2.5,normal,
2025-01-27,81.9,2040,170,200,67,22,41,0.4,336,15.1,10.1,2.6,normal,
2025-01-28,81.8,2160,165,218,72,24,44,0.5,316,14.4,9.6,2.4,normal,
2025-01-29,81.7,2270,159,235,76,25,47,0.6,292,13.8,9.2,2.2,restaurant,Sushi with colleagues
2025-01-30,81.6,2010,172,195,65,21,40,0.3,344,15.4,10.3,2.7,normal,
2025-01-31,81.5,1970,175,188,63,20,39,0.2,356,15.9,10.6,2.8,normal,Month end feeling good
2025-02-01,81.4,2080,169,206,68,22,42,0.4,328,14.9,9.9,2.5,normal,New month
2025-02-02,81.3,2050,170,202,67,21,42,0.4,334,15.1,10.1,2.6,normal,
2025-02-03,81.5,2310,156,242,78,26,48,0.6,288,13.6,9.0,2.1,restaurant,Super Bowl food
2025-02-04,81.4,2030,171,198,66,21,41,0.4,338,15.2,10.1,2.6,normal,
2025-02-05,81.2,1990,173,192,64,20,40,0.3,348,15.6,10.4,2.7,normal,
2025-02-06,81.1,2070,168,207,69,22,43,0.4,324,14.8,9.8,2.5,normal,
2025-02-07,81.0,2040,170,200,67,22,41,0.4,336,15.1,10.0,2.5,normal,
2025-02-08,80.9,2100,167,212,70,23,43,0.4,320,14.6,9.7,2.4,normal,
2025-02-09,80.8,2200,162,225,74,24,46,0.5,304,14.1,9.4,2.3,normal,
2025-02-10,81.0,2450,149,268,84,28,52,0.8,278,13.0,8.6,1.9,restaurant,Valentines dinner
2025-02-11,80.9,2060,170,203,68,22,42,0.4,332,15.0,10.0,2.5,normal,
2025-02-12,80.7,1960,175,187,62,20,38,0.2,358,16.1,10.8,2.9,normal,
2025-02-13,80.6,2080,168,208,69,22,43,0.4,326,14.8,9.9,2.5,normal,
2025-02-14,80.5,2030,171,198,66,21,41,0.4,338,15.2,10.1,2.6,normal,
2025-02-15,80.4,2090,168,210,70,23,43,0.4,322,14.7,9.8,2.4,normal,
2025-02-16,80.3,2160,164,220,72,24,44,0.5,314,14.3,9.5,2.3,normal,
2025-02-17,80.5,2350,153,248,79,26,49,0.7,284,13.3,8.8,2.0,restaurant,Family dinner
2025-02-18,80.4,2020,172,196,65,21,40,0.3,342,15.3,10.2,2.6,normal,
2025-02-19,80.2,1970,175,189,63,20,39,0.2,354,15.8,10.6,2.8,normal,
2025-02-20,80.1,2060,169,206,68,22,42,0.4,328,14.9,9.9,2.5,normal,
2025-02-21,80.0,2040,170,200,67,21,42,0.4,336,15.1,10.1,2.6,normal,Milestone - 80kg!
2025-02-22,79.9,2080,168,208,69,22,43,0.4,324,14.8,9.8,2.5,normal,
2025-02-23,79.8,2110,166,214,71,23,44,0.4,318,14.5,9.7,2.4,normal,
2025-02-24,80.0,2280,158,238,77,26,47,0.6,290,13.7,9.1,2.1,restaurant,
2025-02-25,79.9,2010,172,196,65,21,40,0.3,344,15.4,10.3,2.7,normal,
2025-02-26,79.8,1980,174,190,63,20,39,0.2,352,15.7,10.5,2.7,normal,
2025-02-27,79.7,2050,170,202,67,21,42,0.4,334,15.1,10.1,2.6,normal,
2025-02-28,79.6,2030,171,198,66,21,41,0.4,338,15.2,10.2,2.6,normal,End of Feb
